Date;Time;Participant;Group;Condition;Trials;Trial;Hit;Distance;Goal
2016-06-14;12:00:14.113;999;PC;INIT;2;2;1;5.83241;-
2016-06-14;12:00:16.595;999;PC;TRAINING;2;2;1;0.06304894;-
2016-06-14;12:00:18.685;999;PC;TRAINING;2;2;2;0.2182119;-
2016-06-14;12:00:19.670;999;PC;TRAINING;2;2;2;-;Floor
2016-06-14;12:00:19.684;999;PC;TRAINING;2;2;2;-;Floor
2016-06-14;12:00:19.718;999;PC;TRAINING;2;2;2;-;Floor
2016-06-14;12:00:19.817;999;PC;TRAINING;2;2;2;-;Floor
2016-06-14;12:00:20.632;999;PC;CONDITION_INSECT;2;1;-;-;-
2016-06-14;12:00:22.701;999;PC;CONDITION_INSECT;2;1;1;0.2526649;-
2016-06-14;12:00:24.639;999;PC;CONDITION_INSECT;2;1;2;0.05057494;-
2016-06-14;12:00:26.422;999;PC;CONDITION_INSECT;2;1;3;0.2855864;-
2016-06-14;12:00:28.529;999;PC;CONDITION_INSECT;2;1;4;0.3761586;-
2016-06-14;12:00:28.791;999;PC;CONDITION_INSECT;1;2;4;-;Floor
2016-06-14;12:00:29.428;999;PC;CONDITION_INSECT;2;2;-;-;-
2016-06-14;12:00:30.959;999;PC;CONDITION_INSECT;2;2;0;-;Disappear
2016-06-14;12:00:31.195;999;PC;CONDITION_INSECT;2;2;1;0.1331919;-
2016-06-14;12:00:33.298;999;PC;CONDITION_INSECT_DEATH;2;1;-;-;-
2016-06-14;12:00:35.169;999;PC;CONDITION_INSECT_DEATH;2;1;1;0.1388846;-
2016-06-14;12:00:36.580;999;PC;CONDITION_INSECT_DEATH;2;1;2;0.2749483;-
2016-06-14;12:00:37.818;999;PC;CONDITION_INSECT_DEATH;2;1;3;0.3493043;-
2016-06-14;12:00:38.888;999;PC;CONDITION_INSECT_DEATH;2;1;4;0.4066693;-
2016-06-14;12:00:40.088;999;PC;CONDITION_INSECT_DEATH;2;1;5;0.3713869;-
2016-06-14;12:00:41.121;999;PC;CONDITION_INSECT_DEATH;2;1;6;0.4618927;-
2016-06-14;12:00:42.154;999;PC;CONDITION_INSECT_DEATH;2;1;7;0.5519027;-
2016-06-14;12:00:43.173;999;PC;CONDITION_INSECT_DEATH;2;1;8;0.6412006;-
2016-06-14;12:00:43.557;999;PC;CONDITION_INSECT_DEATH;1;2;8;-;Box
2016-06-14;12:00:44.327;999;PC;CONDITION_INSECT_DEATH;2;2;-;-;-
2016-06-14;12:00:44.862;999;PC;CONDITION_INSECT_DEATH;2;2;1;0.06751551;-
2016-06-14;12:00:46.627;999;PC;CONDITION_INSECT_DEATH;2;2;1;-;Kill
2016-06-14;12:00:46.862;999;PC;CONDITION_INSECT_DEATH;2;2;2;0.1057753;-
2016-06-14;12:00:49.098;999;PC;CONDITION_INSECT_KILL;2;1;-;-;-
2016-06-14;12:00:51.530;999;PC;CONDITION_INSECT_KILL;1;2;0;-;Kill
2016-06-14;12:00:51.767;999;PC;CONDITION_INSECT_KILL;2;1;1;0.06551021;-
2016-06-14;12:00:53.968;999;PC;CONDITION_INSECT_KILL;2;2;-;-;-
2016-06-14;12:00:55.337;999;PC;CONDITION_INSECT_KILL;2;2;0;-;Kill
2016-06-14;12:00:55.568;999;PC;CONDITION_INSECT_KILL;2;2;1;0.128496;-
2016-06-14;12:00:57.370;999;PC;CONDITION_REPTILE;2;1;-;-;-
2016-06-14;12:00:59.758;999;PC;CONDITION_REPTILE;1;2;0;-;Disappear
2016-06-14;12:00:59.943;999;PC;CONDITION_REPTILE;2;1;1;0.1330116;-
2016-06-14;12:01:01.977;999;PC;CONDITION_REPTILE;2;2;-;-;-
2016-06-14;12:01:03.745;999;PC;CONDITION_REPTILE;2;2;1;0.0670725;-
2016-06-14;12:01:06.048;999;PC;CONDITION_REPTILE;2;2;1;-;Disappear
2016-06-14;12:01:06.246;999;PC;CONDITION_REPTILE;2;2;2;0.05850457;-
2016-06-14;12:01:08.169;999;PC;CONDITION_REPTILE_DEATH;2;1;-;-;-
2016-06-14;12:01:09.570;999;PC;CONDITION_REPTILE_DEATH;1;2;0;-;Kill
2016-06-14;12:01:09.753;999;PC;CONDITION_REPTILE_DEATH;2;1;1;0.1233998;-
2016-06-14;12:01:11.653;999;PC;CONDITION_REPTILE_DEATH;2;2;-;-;-
2016-06-14;12:01:13.137;999;PC;CONDITION_REPTILE_DEATH;2;2;0;-;Kill
2016-06-14;12:01:13.321;999;PC;CONDITION_REPTILE_DEATH;2;2;1;0.133056;-
2016-06-14;12:01:15.278;999;PC;CONDITION_REPTILE_KILL;2;1;-;-;-
2016-06-14;12:01:16.756;999;PC;CONDITION_REPTILE_KILL;1;2;0;-;Kill
2016-06-14;12:01:16.958;999;PC;CONDITION_REPTILE_KILL;2;1;1;0.1331512;-
2016-06-14;12:01:18.997;999;PC;CONDITION_REPTILE_KILL;2;2;-;-;-
2016-06-14;12:01:20.514;999;PC;CONDITION_REPTILE_KILL;2;2;0;-;Kill
2016-06-14;12:01:20.712;999;PC;CONDITION_REPTILE_KILL;2;2;1;0.1005351;-
2016-06-14;12:01:22.863;999;PC;CONDITION_MAMMAL;2;1;-;-;-
2016-06-14;12:01:24.216;999;PC;CONDITION_MAMMAL;1;2;0;-;Disappear
2016-06-14;12:01:24.650;999;PC;CONDITION_MAMMAL;2;1;1;0.06773011;-
2016-06-14;12:01:26.584;999;PC;CONDITION_MAMMAL;2;2;-;-;-
2016-06-14;12:01:28.155;999;PC;CONDITION_MAMMAL;2;2;0;-;Disappear
2016-06-14;12:01:28.591;999;PC;CONDITION_MAMMAL;2;2;1;0.1335059;-
2016-06-14;12:01:30.473;999;PC;CONDITION_MAMMAL_DEATH;2;1;-;-;-
2016-06-14;12:01:31.739;999;PC;CONDITION_MAMMAL_DEATH;1;2;0;-;Kill
2016-06-14;12:01:32.186;999;PC;CONDITION_MAMMAL_DEATH;2;1;1;0.133062;-
2016-06-14;12:01:34.111;999;PC;CONDITION_MAMMAL_DEATH;2;2;-;-;-
2016-06-14;12:01:35.991;999;PC;CONDITION_MAMMAL_DEATH;2;2;0;-;Kill
2016-06-14;12:01:35.991;999;PC;CONDITION_MAMMAL_DEATH;2;2;1;0.1161116;-
2016-06-14;12:01:38.347;999;PC;CONDITION_MAMMAL_KILL;2;1;-;-;-
2016-06-14;12:01:39.769;999;PC;CONDITION_MAMMAL_KILL;1;2;0;-;Kill
2016-06-14;12:01:40.215;999;PC;CONDITION_MAMMAL_KILL;2;1;1;0.1331927;-
2016-06-14;12:01:42.099;999;PC;CONDITION_MAMMAL_KILL;2;2;-;-;-
2016-06-14;12:01:43.534;999;PC;CONDITION_MAMMAL_KILL;2;2;0;-;Kill
2016-06-14;12:01:43.968;999;PC;CONDITION_MAMMAL_KILL;2;2;1;0.1334577;-
2016-06-14;12:05:52.183;212;PC;TRAINING;2;2;1;0.03941454;-
2016-06-14;12:05:53.301;212;PC;CONDITION_INSECT;2;1;-;-;-
2016-06-14;12:05:54.855;212;PC;CONDITION_INSECT;1;2;-;-;Disappear
2016-06-14;12:05:55.090;212;PC;CONDITION_INSECT;2;1;1;0.1608292;-
2016-06-14;12:05:57.204;212;PC;CONDITION_INSECT;2;2;-;-;-
2016-06-14;12:05:59.208;212;PC;CONDITION_INSECT;2;2;1;0.1739197;-
2016-06-14;12:06:00.744;212;PC;CONDITION_INSECT;2;2;-;-;Disappear
2016-06-14;12:06:00.991;212;PC;CONDITION_INSECT;2;2;2;0.08289088;-
2016-06-14;12:06:03.163;212;PC;CONDITION_INSECT_DEATH;2;1;-;-;-
2016-06-14;12:06:04.718;212;PC;CONDITION_INSECT_DEATH;1;2;-;-;Kill
2016-06-14;12:06:04.934;212;PC;CONDITION_INSECT_DEATH;2;1;1;0.1335362;-
2016-06-14;12:08:13.109;000;PC;TRAINING;2;2;-;-;Floor
2016-06-14;12:08:13.124;000;PC;TRAINING;2;2;-;-;Floor
2016-06-14;12:08:13.154;000;PC;TRAINING;2;2;-;-;Floor
2016-06-14;12:08:13.257;000;PC;TRAINING;2;2;-;-;Floor
2016-06-14;12:08:19.866;000;PC;CONDITION_INSECT;2;1;-;-;-
2016-06-14;13:56:18.933;132;PC;CONDITION_INSECT;2;1;-;-;-
2016-06-14;13:56:20.637;132;PC;CONDITION_INSECT;1;2;-;-;Disappear
2016-06-14;13:56:20.871;132;PC;CONDITION_INSECT;2;1;1;0.08557665;-
2016-06-14;13:56:23.071;132;PC;CONDITION_INSECT;2;2;-;-;-
2016-06-14;13:56:25.174;132;PC;CONDITION_INSECT;2;2;1;0.09333885;-
